assoc_type	tissue	drug	nr	nc	mat_size	min_prox	mean_prox_actual	med_prox	max_prox	mean_prox_null	sd_prox	prox_zs
GCN	Adipose_subcutaneous	desoximetasone	9	21	189	1	3.25925925925926	3	6	3.71548148148148	0.347611043178732	-1.31245031242475
GCN	Adipose_subcutaneous	dexamethasone	2	21	42	1	3.97619047619048	4	8	3.98692857142857	0.659434703316001	-0.0162837884995939
GCN	Adipose_subcutaneous	dextromethorphan			21	1	3	3	5	3.06809523809524	0.332645200928029	-0.204708313558304
GCN	Adipose_subcutaneous	diclofenamide	4	21	84	0	3.95238095238095	4	8	3.77520238095238	0.467817085486267	0.378734716891333
GCN	Adipose_subcutaneous	dienestrol	5	21	105	1	3.36190476190476	3	6	3.90131428571429	0.484079084304878	-1.11430041350393
GCN	Adipose_subcutaneous	diethylstilbestrol			21	2	3.23809523809524	3	5	3.49809523809524	0.423095555224962	-0.614518391387395
GCN	Adipose_subcutaneous	diflorasone	3	21	63	1	2.79365079365079	3	5	2.92444444444445	0.34602724171658	-0.377986571649145
GCN	Adipose_subcutaneous	digitoxin	6	21	126	1	3.67460317460317	3	9	3.51500793650794	0.365086024455844	0.437144200009038
GCN	Adipose_subcutaneous	digoxin	4	21	84	1	3.22619047619048	3	6	3.53578571428571	0.395605153038456	-0.782586464603344
GCN	Adipose_subcutaneous	dihydroergocristine	14	21	294	1	3.3843537414966	3	8	3.58595578231293	0.290795614645508	-0.693277445267156
GCN	Adipose_subcutaneous	diltiazem			21	1	3.0952380952381	3	5	3.40938095238095	0.688851706200777	-0.456038439500197
GCN	Adipose_subcutaneous	dinoprostone	8	21	168	0	3.85119047619048	4	7	3.96854761904763	0.384999836320663	-0.304823877274079
GCN	Adipose_subcutaneous	dipyridamole	5	21	105	1	3.82857142857143	4	7	4.16691428571429	0.504009498160866	-0.671302541673272
GCN	Adipose_subcutaneous	disopyramide			21	1	2.76190476190476	3	5	2.87538095238096	0.305577370655772	-0.371350110882488
GCN	Adipose_subcutaneous	dobutamine	4	21	84	0	4.16666666666667	4	8	4.22871428571429	0.555574841854363	-0.111681837213005
GCN	Adipose_subcutaneous	doconexent	4	21	84	0	2.89285714285714	3	6	3.21653571428571	0.366061806259869	-0.884218363930568
GCN	Adipose_subcutaneous	donepezil	8	21	168	1	4.23214285714286	4	8	3.78988095238096	0.343406801795628	1.28786588515246
GCN	Adipose_subcutaneous	dosulepin	4	21	84	1	3.5	3	7	3.6932380952381	0.469028342667777	-0.411996627195246
GCN	Adipose_subcutaneous	doxepin	4	21	84	1	3.73809523809524	4	7	4.46377380952381	0.604981173066664	-1.19950604041129
GCN	Adipose_subcutaneous	doxorubicin	7	21	147	0	3.80272108843537	4	8	3.75718367346939	0.370690358431074	0.122844886386349
GCN	Adipose_subcutaneous	duloxetine			21	1	2.57142857142857	3	5	2.66471428571429	0.270892037303719	-0.344364918268639
GCN	Adipose_subcutaneous	dydrogesterone	4	21	84	1	4.05952380952381	3	9	3.55327380952381	0.427736012368083	1.18355711317651
GCN	Adipose_subcutaneous	erlotinib	4	21	84	1	3.91666666666667	3	9	3.39494047619048	0.380608946669409	1.37076701701748
GCN	Adipose_subcutaneous	escitalopram	5	21	105	1	3.45714285714286	4	6	3.69991428571429	0.427405388866579	-0.568012090851795
GCN	Adipose_subcutaneous	estradiol	5	21	105	1	3.82857142857143	4	7	3.67908571428572	0.424206721046689	0.352388839848809
GCN	Adipose_subcutaneous	estriol	5	21	105	1	3.47619047619048	4	6	3.34744761904762	0.287808029197045	0.447321978827481
GCN	Adipose_subcutaneous	etodolac			21	1	3.04761904761905	3	5	2.77238095238095	0.293271211455064	0.938510445237728
GCN	Adipose_subcutaneous	etomidate	4	21	84	0	4.30952380952381	4	9	3.57592857142857	0.441125029220496	1.66300978067729
GCN	Adipose_subcutaneous	everolimus	3	21	63	1	2.9047619047619	3	7	3.11028571428572	0.326541736684692	-0.629395224054539
GCN	Adipose_subcutaneous	fenoldopam	4	21	84	1	4.13095238095238	3	9	3.62086904761905	0.421503759468141	1.21015132576032
GCN	Adipose_subcutaneous	fenoterol	3	21	63	1	3.63492063492064	3	7	3.54512698412699	0.459672782551506	0.195342544092414
GCN	Adipose_subcutaneous	fexofenadine	6	21	126	1	3.25396825396825	3	6	3.50184920634921	0.339450860490359	-0.730241048801231
GCN	Adipose_subcutaneous	flecainide	4	21	84	1	3.29761904761905	3	6	3.50348809523809	0.43600668524578	-0.472169474885436
GCN	Adipose_subcutaneous	flunisolide	6	21	126	1	3.1984126984127	3	6	3.73865079365079	0.415106887972816	-1.30144334119907
GCN	Adipose_subcutaneous	fluoxetine	7	21	147	0	3.33333333333333	3	7	3.38961904761905	0.351831170794654	-0.159979328035637
GCN	Adipose_subcutaneous	fluticasone	6	21	126	0	3.82539682539683	4	8	4.2026746031746	0.467966912575106	-0.806206096285107
GCN	Adipose_subcutaneous	fluvastatin	13	21	273	0	4.36996336996337	4	9	4.10936263736264	0.343293657552447	0.759118984191885
GCN	Adipose_subcutaneous	fostamatinib	8	21	168	0	3.17261904761905	3	7	3.3653988095238	0.328535820761352	-0.586784605276831
GCN	Adipose_subcutaneous	fulvestrant	6	21	126	0	4.08730158730159	4	8	3.90135714285715	0.411397824191491	0.451982080386232
GCN	Adipose_subcutaneous	gefitinib	5	21	105	0	3.22857142857143	3	7	3.07262857142857	0.33590843749243	0.464242155710585
GCN	Adipose_subcutaneous	iloprost	2	21	42	1	4.04761904761905	4.5	7	3.66857142857143	0.606426428995934	0.625051285570144
GCN	Adipose_subcutaneous	imatinib	4	21	84	0	3.48809523809524	3	7	4.06478571428571	0.537030869151854	-1.07384977161788
GCN	Adipose_subcutaneous	ipratropium	3	21	63	0	3.53968253968254	4	7	3.56825396825397	0.500266320433293	-0.0571124367250695
GCN	Adipose_subcutaneous	irbesartan	7	21	147	1	3.31292517006803	3	6	3.40802721088435	0.323945640034712	-0.293574072508368
GCN	Adipose_subcutaneous	isotretinoin	5	21	105	0	3.34285714285714	3	7	4.11172380952381	0.500018420712114	-1.53767668313433
GCN	Adipose_subcutaneous	itraconazole	2	21	42	1	2.61904761904762	3	5	2.8487619047619	0.300556405266717	-0.764296756578617
GCN	Adipose_subcutaneous	labetalol	5	21	105	1	3.06666666666667	3	6	3.311	0.340456394880929	-0.717664103265803
GCN	Adipose_subcutaneous	lamivudine	3	21	63	1	3.28571428571429	3	7	3.16453968253968	0.375808054430588	0.322437483034284
GCN	Adipose_subcutaneous	lapatinib	5	21	105	1	3.75238095238095	4	7	3.72903809523809	0.43903963754048	0.0531679947478728
GCN	Adipose_subcutaneous	levonorgestrel	6	21	126	1	3.15873015873016	3	7	3.37174603174603	0.344642811920763	-0.618077225602618
GCN	Adipose_subcutaneous	lopinavir	8	21	168	0	4.11904761904762	4	8	4.15324404761905	0.424816283843647	-0.0804969815705453
GCN	Adipose_subcutaneous	losartan	5	21	105	0	3.35238095238095	3	7	3.66625714285715	0.408128250103418	-0.769062642433268
GCN	Adipose_subcutaneous	lovastatin	4	21	84	1	3.38095238095238	3.5	6	3.44009523809524	0.395553333653032	-0.149519298944244
GCN	Adipose_subcutaneous	lypressin			21	1	3.33333333333333	4	6	3.47685714285715	0.432212538488561	-0.33206766750849
GCN	Adipose_subcutaneous	maprotiline	3	21	63	1	3.31746031746032	3	6	3.77601587301587	0.52503579015939	-0.873379613638038
GCN	Adipose_subcutaneous	medrysone	3	21	63	1	2.77777777777778	3	5	3.06988888888889	0.270773176336912	-1.07880372444148
GCN	Adipose_subcutaneous	mephentermine			21	1	2.71428571428571	3	5	3.39757142857143	0.678115952380558	-1.00762371374249
GCN	Adipose_subcutaneous	mestranol	5	21	105	1	3.00952380952381	3	7	3.16704761904762	0.305427974650238	-0.515747811588637
GCN	Adipose_subcutaneous	methylprednisolone	5	21	105	0	3.80952380952381	4	7	3.62974285714286	0.402808589861473	0.446318566450575
GCN	Adipose_subcutaneous	metoclopramide	9	21	189	1	3.88888888888889	4	8	3.89794179894181	0.354874711933168	-0.0255101582290954
GCN	Adipose_subcutaneous	metoprolol	7	21	147	1	3.48979591836735	3	7	3.60021088435374	0.343978597522962	-0.320993709438621
GCN	Adipose_subcutaneous	midostaurin	3	21	63	1	3.52380952380952	3	7	4.13734920634921	0.620670964442461	-0.988510366504454
GCN	Adipose_subcutaneous	mifepristone	5	21	105	1	3.75238095238095	3	7	3.79792380952381	0.473861550824551	-0.0961100495780093
GCN	Adipose_subcutaneous	mirtazapine	5	21	105	1	3.48571428571429	3	8	3.599	0.416236685795696	-0.272166577698811
GCN	Adipose_subcutaneous	mitotane	7	21	147	1	4.63945578231293	4	9	3.95492517006803	0.41966668998366	1.6311292475263
GCN	Adipose_subcutaneous	molsidomine	5	21	105	1	3.4	3	7	3.59641904761905	0.419011718407214	-0.468767432962726
GCN	Adipose_subcutaneous	nadolol	2	21	42	1	3.04761904761905	3	7	3.15766666666667	0.440908435302482	-0.249592909176534
GCN	Adipose_subcutaneous	naloxone	5	21	105	1	4.1047619047619	4	8	4.18870476190477	0.48836762656388	-0.171884565186038
GCN	Adipose_subcutaneous	nelfinavir	2	21	42	3	6.35714285714286	7	10	4.47295238095239	0.867740618524495	2.17137521969911
GCN	Adipose_subcutaneous	neratinib	9	21	189	1	3.60846560846561	3	8	3.70866137566137	0.346388301083504	-0.289258519650771
GCN	Adipose_subcutaneous	niacin	7	21	147	1	4.10884353741497	4	7	3.82110884353742	0.376636764046144	0.763958066085916
GCN	Adipose_subcutaneous	nicardipine	8	21	168	1	3.85714285714286	4	8	3.85841666666666	0.375812348503214	-0.00338948288653533
GCN	Adipose_subcutaneous	nicotinamide	6	21	126	0	3.50793650793651	4	7	3.69644444444445	0.387560829605256	-0.48639573999246
GCN	Adipose_subcutaneous	nifedipine			21	2	7.38095238095238	7	9	4.44647619047619	1.19344082359039	2.45883677889282
GCN	Adipose_subcutaneous	nimodipine	9	21	189	0	3.29100529100529	3	6	3.44516931216931	0.311951963855933	-0.494191539166642
GCN	Adipose_subcutaneous	nitrendipine	5	21	105	1	3.22857142857143	3	7	3.45390476190476	0.378735913453299	-0.594961621882513
GCN	Adipose_subcutaneous	norethisterone	2	21	42	1	3.11904761904762	3	5	3.60259523809524	0.641961673279666	-0.753234405065434
GCN	Adipose_subcutaneous	norgestimate	5	21	105	1	4.33333333333333	4	8	3.89622857142857	0.444797431274335	0.982705229777215
GCN	Adipose_subcutaneous	norgestrel	4	21	84	1	3.23809523809524	3	6	3.15165476190476	0.272044800190984	0.317743533895138
GCN	Adipose_subcutaneous	nortriptyline	4	21	84	1	3.07142857142857	3	6	3.42303571428572	0.411395738669064	-0.854668898600311
GCN	Adipose_subcutaneous	olaparib	4	21	84	0	3.66666666666667	4	7	3.97028571428571	0.473130568738438	-0.641723591076802
GCN	Adipose_subcutaneous	oxybenzone	4	21	84	1	3.07142857142857	3	7	3.3232619047619	0.347493108772415	-0.724714611529935
GCN	Adipose_subcutaneous	oxymetazoline	3	21	63	2	3.44444444444444	3	6	3.95869841269841	0.591979757577768	-0.868701947441865
GCN	Adipose_subcutaneous	palbociclib	6	21	126	0	3.07936507936508	3	6	2.94107142857143	0.268285557931964	0.515471842240277
GCN	Adipose_subcutaneous	panobinostat	7	21	147	1	3.31292517006803	3	6	3.37242176870748	0.319093285660579	-0.186455188225856
GCN	Adipose_subcutaneous	paroxetine			21	1	3.04761904761905	3	5	3.05771428571429	0.333959412853795	-0.0302289371303313
GCN	Adipose_subcutaneous	pemetrexed	8	21	168	1	3.63690476190476	3	8	3.62213095238095	0.360590675009229	0.0409711358271592
GCN	Adipose_subcutaneous	pergolide	9	21	189	0	4.31216931216931	4	9	3.94766666666667	0.36417188338369	1.00090825825398
GCN	Adipose_subcutaneous	phenformin	3	21	63	1	3.71428571428571	3	8	3.98673015873015	0.585801843397726	-0.465079527343627
GCN	Adipose_subcutaneous	phenolphthalein	4	21	84	1	3.39285714285714	3	7	3.26861904761905	0.32378142726836	0.383709764597206
GCN	Adipose_subcutaneous	pindolol	2	21	42	1	2.97619047619048	3	5	3.00066666666666	0.276863335181082	-0.0884053154245631
GCN	Adipose_subcutaneous	pioglitazone	9	21	189	0	4.24338624338624	4	9	4.02373544973545	0.364000580379223	0.603435284146947
GCN	Adipose_subcutaneous	pitavastatin	4	21	84	1	3.8452380952381	4	7	3.93709523809524	0.495703358194187	-0.18530667855826
GCN	Adipose_subcutaneous	pizotifen	3	21	63	0	3.46031746031746	4	6	4.12869841269841	0.634379056244105	-1.05359870538311
GCN	Adipose_subcutaneous	pravastatin	5	21	105	1	3.9047619047619	3	9	3.43050476190476	0.340331273290688	1.39351620046995
GCN	Adipose_subcutaneous	prednicarbate	9	21	189	0	3	3	7	3.09553968253969	0.269304810630093	-0.354764114002107
GCN	Adipose_subcutaneous	prednisone	5	21	105	0	4.35238095238095	3	10	3.87140952380952	0.462822809387564	1.03921288842242
GCN	Adipose_subcutaneous	procaterol	5	21	105	0	4.00952380952381	3	9	3.83243809523809	0.45144364793732	0.392265380396509
GCN	Adipose_subcutaneous	prochlorperazine	7	21	147	1	3.06122448979592	3	7	3.25119047619048	0.300887645938323	-0.631351898155035
GCN	Adipose_subcutaneous	progesterone	2	21	42	2	4.14285714285714	4	7	4.49535714285715	0.842346703662444	-0.418473769134935
GCN	Adipose_subcutaneous	promethazine	9	21	189	1	3.42328042328042	3	8	3.86456084656085	0.363775042820799	-1.21305854260544
GCN	Adipose_subcutaneous	propranolol	5	21	105	1	2.9047619047619	3	6	3.14029523809524	0.304728035530411	-0.772929648312041
GCN	Adipose_subcutaneous	pseudoephedrine	8	21	168	0	3.75	4	7	3.90114880952381	0.381063922935168	-0.396649486940608
GCN	Adipose_subcutaneous	quetiapine	4	21	84	0	4.08333333333333	4	9	3.43905952380952	0.385846780653455	1.66976593256187
GCN	Adipose_subcutaneous	quinidine	8	21	168	1	4.21428571428571	4	10	3.63817857142857	0.355350769971878	1.62123510497172
GCN	Adipose_subcutaneous	raloxifene	5	21	105	1	3.43809523809524	3	7	3.74805714285714	0.410711193542162	-0.754695536999238
GCN	Adipose_subcutaneous	rifampicin	3	21	63	1	3.03174603174603	3	6	3.06080952380952	0.339729460312858	-0.0855489307189479
GCN	Adipose_subcutaneous	rimexolone	5	21	105	0	3.4	4	6	3.68879047619048	0.407812398429544	-0.708145405344691
GCN	Adipose_subcutaneous	risperidone	8	21	168	0	3.875	3	9	3.75967857142857	0.360420697576281	0.319963390967643
GCN	Adipose_subcutaneous	ropinirole	5	21	105	1	3.60952380952381	3	8	3.80626666666667	0.447184363178094	-0.439959160791375
GCN	Adipose_subcutaneous	rosiglitazone	2	21	42	2	4.54761904761905	4	8	3.89157142857142	0.680110628182166	0.964618977946495
GCN	Adipose_subcutaneous	rosuvastatin			21	1	2.61904761904762	3	5	2.97523809523809	0.374866783810557	-0.950178814377095
GCN	Adipose_subcutaneous	rucaparib			21	1	2.66666666666667	3	5	2.88042857142857	0.279326560108518	-0.765275971890585
GCN	Adipose_subcutaneous	salmeterol	5	21	105	1	3.5047619047619	3	7	3.7694	0.425153616251197	-0.622452885551236
GCN	Adipose_subcutaneous	saquinavir	4	21	84	1	4.25	3	9	3.78486904761905	0.470462227582334	0.988668005869927
GCN	Adipose_subcutaneous	sertraline	4	21	84	1	3.0952380952381	3	7	3.44414285714286	0.4115861078956	-0.847707819121196
GCN	Adipose_subcutaneous	sildenafil	5	21	105	1	4.12380952380952	3	9	3.35296190476191	0.351162478668056	2.19513093190195
GCN	Adipose_subcutaneous	simvastatin	3	21	63	2	3.50793650793651	3	6	4.11742857142857	0.587718543654991	-1.03704752908026
GCN	Adipose_subcutaneous	sirolimus	6	21	126	1	3.58730158730159	4	7	3.8469126984127	0.414333524270106	-0.626575200663386
GCN	Adipose_subcutaneous	sorafenib	4	21	84	1	3.36904761904762	3	6	3.66335714285714	0.4171814413188	-0.705471276188951
GCN	Adipose_subcutaneous	spironolactone	2	21	42	2	4.38095238095238	4	8	3.8112619047619	0.653264289643388	0.872067377969595
GCN	Adipose_subcutaneous	tacrolimus	2	21	42	1	4.42857142857143	5	8	4.40597619047619	0.826317699776327	0.0273444924408078
GCN	Adipose_subcutaneous	tadalafil	5	21	105	0	4.39047619047619	4	9	4.47370476190477	0.564240253412948	-0.147505554460447
GCN	Adipose_subcutaneous	tamoxifen	5	21	105	0	3.38095238095238	3	7	3.95804761904762	0.456438532904773	-1.26434381957765
GCN	Adipose_subcutaneous	telmisartan	2	21	42	2	3.38095238095238	3	5	3.76535714285714	0.611843768191052	-0.628272741979988
GCN	Adipose_subcutaneous	temsirolimus	4	21	84	1	3.07142857142857	3	6	2.96877380952381	0.271472134630152	0.378141064255507
GCN	Adipose_subcutaneous	terazosin	4	21	84	1	3.44047619047619	4	7	3.44482142857143	0.393203796858812	-0.01105085487463
GCN	Adipose_subcutaneous	testosterone	8	21	168	0	3.48809523809524	4	6	3.61509523809524	0.330695969297819	-0.384038548367145
GCN	Adipose_subcutaneous	thalidomide	8	21	168	0	4.10714285714286	4	9	4.05316071428571	0.393446136319867	0.137203387894661
GCN	Adipose_subcutaneous	thioridazine	2	21	42	0	3.5952380952381	4	6	4.43604761904762	0.821001412887917	-1.02412676837172
GCN	Adipose_subcutaneous	tibolone	4	21	84	0	3.44047619047619	4	6	4.0969880952381	0.568006853690277	-1.15581687174481
GCN	Adipose_subcutaneous	timolol	4	21	84	1	4.45238095238095	4	9	3.88238095238095	0.503465616787434	1.13215278460745
GCN	Adipose_subcutaneous	toremifene	5	21	105	1	3.01904761904762	3	6	3.31660000000001	0.354926302567096	-0.83834976106382
GCN	Adipose_subcutaneous	triamcinolone	4	21	84	1	5.13095238095238	5	9	3.73285714285715	0.463159505583083	3.01860422001948
GCN	Adipose_subcutaneous	triclosan	4	21	84	1	3.1547619047619	3	6	3.22392857142857	0.311963052667582	-0.221714289802042
GCN	Adipose_subcutaneous	trimipramine	4	21	84	1	3	3	7	3.24019047619048	0.403610838513042	-0.595104128212649
GCN	Adipose_subcutaneous	troglitazone			21	2	3.71428571428571	4	6	4.48971428571428	1.20036159212634	-0.645995820355234
GCN	Adipose_subcutaneous	valdecoxib	3	21	63	0	2.98412698412698	3	6	3.27004761904762	0.445727559485669	-0.641469500451279
GCN	Adipose_subcutaneous	vardenafil	3	21	63	1	3.6031746031746	3	7	3.77271428571428	0.549925104164292	-0.308295950222758
GCN	Adipose_subcutaneous	vemurafenib	2	21	42	1	3.30952380952381	3	6	2.98807142857143	0.27393617295735	1.17345722356437
GCN	Adipose_subcutaneous	verapamil	4	21	84	1	3.26190476190476	3	6	3.78229761904762	0.507202631568279	-1.02600583032031
GCN	Adipose_subcutaneous	vorinostat	5	21	105	1	3.25714285714286	3	6	3.61681904761905	0.408738689391027	-0.879966100131274
GCN	Adipose_subcutaneous	warfarin	10	21	210	0	3.43333333333333	3	7	3.6939380952381	0.322449303603938	-0.808203829228512
GCN	Adipose_subcutaneous	xanthinol	12	21	252	1	4.55555555555556	4	9	3.78799206349207	0.327691379704591	2.34233653859139
GCN	Adipose_subcutaneous	ziprasidone	5	21	105	0	3.37142857142857	3	7	3.99429523809524	0.463738056306524	-1.34314330729623
GCN	Adipose_visceral	acitretin	6	44	264	0	4.65909090909091	5	9	4.74705303030304	0.353325192903553	-0.248955135322437
GCN	Adipose_visceral	acyclovir	9	44	396	0	5.63636363636364	6	10	5.08363888888889	0.368036294679405	1.50182130258709
GCN	Adipose_visceral	afatinib	2	44	88	1	5.38636363636364	5	9	5.07922727272727	0.716769843819485	0.428500677427665
GCN	Adipose_visceral	alclometasone	4	44	176	1	5.27840909090909	5	9	4.95427272727273	0.376879478676184	0.860053099136393
GCN	Adipose_visceral	alitretinoin	7	44	308	0	6.6038961038961	7	9	5.08503896103895	0.409933740884795	3.70512839362496
GCN	Adipose_visceral	alprostadil	2	44	88	2	5.02272727272727	6	6	4.09963636363637	0.341810728684261	2.70059079960472
GCN	Adipose_visceral	amcinonide	7	44	308	1	5.29220779220779	5	9	5.09367532467533	0.421458643351824	0.471060377249707
GCN	Adipose_visceral	aminoglutethimide	7	44	308	0	5.81818181818182	6	9	4.93941233766234	0.377179222419585	2.32984594135971
GCN	Adipose_visceral	amiodarone	6	44	264	1	4.58333333333333	4	9	4.91684848484849	0.406185116747472	-0.821091511638297
GCN	Adipose_visceral	amlodipine	5	44	220	0	6.02272727272727	6	10	5.09304090909092	0.478869016902742	1.94142099576505
GCN	Adipose_visceral	amoxapine	5	44	220	1	5.20454545454545	5	9	4.66463181818182	0.383994331556246	1.40604585014439
GCN	Adipose_visceral	atomoxetine	7	44	308	1	6.25	6	9	4.81458441558442	0.364856930656186	3.93418752340547
GCN	Adipose_visceral	atorvastatin	4	44	176	1	5.52840909090909	6	9	4.79261931818182	0.464613520730842	1.58365983747065
GCN	Adipose_visceral	auranofin	4	44	176	0	6.23863636363636	7	9	5.11096022727273	0.521639740020176	2.16179107887757
GCN	Adipose_visceral	balsalazide	2	44	88	2	4.75	4	7	5.10354545454545	0.735261515285205	-0.480843138387722
GCN	Adipose_visceral	belinostat	4	44	176	0	4.79545454545455	6	9	4.84822727272729	0.469195802413721	-0.112474849521792
GCN	Adipose_visceral	benzthiazide	8	44	352	0	5.26136363636364	6	9	4.96749715909091	0.362006199887556	0.811771945795429
GCN	Adipose_visceral	benzylpenicillin	7	44	308	1	5.92532467532468	6	10	4.95733116883118	0.384557037784306	2.51716497524208
GCN	Adipose_visceral	betamethasone	14	44	616	0	4.89448051948052	4	9	4.94585227272728	0.301983341142627	-0.170114527021203
GCN	Adipose_visceral	bosutinib	6	44	264	0	5.87878787878788	6	10	5.07745075757576	0.427923354344772	1.87261833941995
GCN	Adipose_visceral	brinzolamide	11	44	484	1	5.91528925619835	6	10	5.09052479338843	0.332869408727422	2.47774184465626
GCN	Adipose_visceral	budesonide	3	44	132	2	5.56060606060606	6	9	5.09619696969698	0.606432397828905	0.765805211878051
GCN	Adipose_visceral	bupropion	4	44	176	0	4.86363636363636	4	9	5.07220454545454	0.528313915567855	-0.394780784060935
GCN	Adipose_visceral	buspirone	6	44	264	1	5.86742424242424	6	9	5.09520075757576	0.40629089094887	1.90066649794928
GCN	Adipose_visceral	cabergoline	5	44	220	1	5.23181818181818	5	9	5.09757727272727	0.480828675348457	0.27918657096236
GCN	Adipose_visceral	caffeine	9	44	396	2	6.03030303030303	6	9	4.66310353535353	0.305376585170443	4.47709340317108
GCN	Adipose_visceral	capsaicin	9	44	396	1	5.73484848484848	6	9	5.09704545454546	0.364597852926155	1.7493329299232
GCN	Adipose_visceral	carvedilol	8	44	352	0	5.47159090909091	5	9	4.95667329545454	0.372024118410859	1.38409739625456
GCN	Adipose_visceral	celecoxib	4	44	176	1	5.11363636363636	6	9	5.07073295454545	0.521998312397603	0.0821907045903057
GCN	Adipose_visceral	chloroquine	7	44	308	1	5.4448051948052	6	9	4.95578246753247	0.401523099126719	1.21791928866936
